Name,Latitude,Longitude,RouteDesignator,Procedure,FRA
ARBUM,39°16'43''N,015°48'09''E,M620,"BC star, CA star, CA sid",FRA(I)
ARDAM,44°47'52''N,012°30'21''E,"L612, Y941, Z456",NULL,FRA(I)
ARFOL,36°49'23''N,014°39'40''E,P623,NULL,FRA(E)
ARKEM,43°27'12''N,013°28'50''E,NULL,"PY star, PY ial",
ARLES,45°55'46''N,008°22'30''E,L153,"ME sid, ML sid",FRA(I)
ARLUK,45°43'26''N,011°50'19''E,NULL,PZ sid,
ARNOS,46°32'29''N,013°34'10''E,P125,NULL,
ARSIK,40°38'44''N,008°27'41''E,"M603, M731, P167",NULL,FRA(I)
ARSOB,42°40'45''N,014°53'46''E,"L612, Z924",NULL,FRA(I)
ARVOD,45°09'28''N,012°11'23''E,P125,NULL,FRA(I)
ARZUV,41°19'49''N,017°02'16''E,NULL,BD star,
ASBEB,38°24'53''N,013°18'19''E,NULL,CJ sid,
ASBOP,44°07'27''N,007°57'12''E,Z185,NULL,FRA(I)
ASDOR,43°47'05''N,012°23'59''E,M730,"PK star, PK sid, PR star",
ASKAG,41°47'25''N,009°45'00''E,Z154,NULL,
ASKOT,36°30'00''N,016°27'05''E,M621,NULL,FRA(E)
ASKUV,41°38'03''N,011°55'59''E,NULL,RF star,
ASPIR,42°11'20''N,013°44'15''E,Z924,BP sid,FRA(I)
ASTIG,44°56'30''N,008°17'25''E,"M135, Q223","MC star, MF sid, ML star",FRA(I)
ASTOR,44°49'50''N,008°05'48''E,NULL,"MF star, MF sid, MZ star",
ASTUB,42°34'04''N,014°19'32''E,NULL,"BP star, BP ial",
ASUFE,37°34'40''N,015°24'51''E,NULL,CC star,
ASVEP,40°51'06''N,014°30'03''E,NULL,RN star,
ASVOL,43°10'44''N,010°27'36''E,T313,RP sid,
ASVUT,46°32'54''N,011°40'09''E,"Q984, Y107",NULL,FRA(I)
ATGAM,45°24'52''N,009°22'57''E,NULL,"ME sid, ML sid",
ATMAD,45°13'09''N,007°00'09''E,NULL,NULL,
ATMIP,45°02'52''N,010°05'34''E,NULL,ME star,
ATNET,40°45'55''N,010°08'08''E,M603,"EO sid, EO star",FRA(I)
ATPED,46°09'15''N,010°25'49''E,"M984, P131, Y740",NULL,FRA(I)
ATRIG,46°53'07''N,011°15'56''E,P66,NULL,FRA(I)
ATRUP,42°20'56''N,013°35'44''E,"L5, M169",BP star,FRA(I)
ATTEC,40°28'43''N,017°28'03''E,NULL,BG ial,
ATTUF,35°38'22''N,013°01'58''E,NULL,CD sid,
AVCOL,46°10'31''N,011°13'21''E,NULL,"DT ial, DT sid",
AVCUP,44°46'40''N,011°00'17''E,Y581,PO sid,
AVHEB,45°34'16''N,009°57'37''E,NULL,ME ial,
BABAG,45°23'13''N,013°07'37''E,"N606, Q333, T307",NULL,FRA(I)
BABIK,36°47'18''N,011°48'11''E,NULL,"CG star, CG ial",
BABLO,36°50'23''N,011°30'00''E,M735,NULL,FRA(E)
BABNU,43°48'25''N,010°10'52''E,NULL,RP ial,
BADBA,43°59'24''N,007°39'48''E,Z185,NULL,
BADOP,45°27'44''N,013°00'15''E,"M196, N606, P125, P66",NULL,FRA(I)
BADUK,38°16'59''N,013°24'41''E,NULL,"CJ star, CJ ial",
BAGIX,38°59'25''N,015°29'28''E,"Q152, Q182, Z854","CA sid, CA star, BC star",FRA(I)
BAGNO,43°53'26''N,011°48'08''E,"M726, M730, M872",PR star,FRA(I)
BAKEP,44°10'37''N,012°35'41''E,Z982,NULL,FRA(I)
BAKOR,46°36'32''N,011°43'43''E,"M984, N503, Y107",NULL,FRA(I)
BAKRO,43°11'17''N,009°53'15''E,L50,NULL,FRA(I)
BALUK,44°05'55''N,010°40'11''E,"M730, Q64",RQ sid,FRA(I)
BAMEK,44°54'19''N,011°17'22''E,"P125, T492",PE star,FRA(I)
BAMOV,46°17'53''N,011°03'41''E,NULL,"DT star, DT ial",
BAMVU,42°31'11''N,010°59'05''E,Y99,"RS star, RS sid",
BANAV,41°43'43''N,017°00'40''E,"A482, P748, T527","BD star, BD sid",FRA(I)
BANKO,45°49'12''N,007°03'17''E,"L50, L615",NULL,
BAPIL,44°10'44''N,012°21'16''E,NULL,"PR star, PR ial",
BAPLU,45°09'18''N,010°13'41''E,Q95,ME star,FRA(I)
BARBY,45°06'30''N,007°41'56''E,NULL,"MF sid, MZ sid",
BARMO,44°20'03''N,009°31'54''E,NULL,MJ star,
BARPI,45°35'09''N,013°31'22''E,"M859, P28, Z495",NULL,FRA(X)
BASBU,41°43'37''N,012°42'27''E,NULL,RF star,
BASIP,43°53'32''N,007°57'42''E,Y15,NULL,
BASOG,45°07'57''N,012°29'36''E,"M167, Y941, Z122, Z71",PZ star,FRA(I)
BATOX,41°12'46''N,010°09'23''E,"L5, Z254","EO star, EO sid",FRA(I)
BAVMI,45°42'13''N,008°24'28''E,L615,"ME sid, ML sid, LSZA sid",
BAVOM,42°27'11''N,014°32'43''E,NULL,"BP star, BP ial",
BAXON,44°24'59''N,013°27'47''E,N737,NULL,FRA(E)
BEBGI,40°44'47''N,008°57'42''E,NULL,EO star,
BEDIX,45°29'12''N,009°56'57''E,NULL,ME ial,
BEDPI,41°15'00''N,014°46'10''E,M725,NULL,FRA(I)
BEGUD,42°46'50''N,009°52'00''E,NULL,NULL,FRA(I)
BEKAN,45°19'30''N,009°45'40''E,L995,NULL,
BEKIV,37°52'39''N,013°40'05''E,M871,NULL,FRA(I)
BELIX,36°58'00''N,019°00'00''E,"M728, Q182, T416",NULL,FRA(X)
BELOK,39°23'23''N,010°21'39''E,Y159,NULL,FRA(I)
BELOV,44°32'33''N,012°42'48''E,"L612, T128, T214",NULL,FRA(I)
BENQA,45°12'36''N,007°47'31''E,NULL,"MF star, MZ star",
BENTO,41°03'39''N,014°39'49''E,NULL,"RN star, RN ial",
BENUS,44°54'25''N,011°12'13''E,M738,PE star,FRA(I)
BEPMA,44°29'44''N,011°04'37''E,Y11,NULL,FRA(I)
BERAB,44°03'03''N,008°24'19''E,NULL,"MG star, MG ial",
BERMI,37°30'19''N,015°21'19''E,"Q72, Y93","CR star, CR sid",FRA(I)
BEROK,44°09'56''N,010°21'06''E,"L153, M730, Q705, Y138","RP star, RP sid, RQ star",FRA(I)
BEROL,40°12'17''N,013°00'47''E,"M726, Y159",NULL,FRA(I)
BETEN,43°33'11''N,009°46'06''E,"M621, M729","RP star, RP sid",FRA(I)
BETMU,44°40'22''N,010°49'20''E,"Y504, Z388","MP star, MP sid",FRA(I)
BETOT,40°23'09''N,011°37'54''E,"L12, L44, L865, M734",NULL,FRA(I)
BEVIS,41°55'58''N,018°11'40''E,NULL,NULL,FRA(EX)
BEXIB,40°47'39''N,009°03'06''E,NULL,EO star,
BEXOR,46°52'49''N,011°13'31''E,T101,NULL,FRA(I)
BIBAN,45°55'32''N,007°27'03''E,L612,NULL,FRA(E)
BIBEK,42°26'28''N,011°15'05''E,NULL,"RA star, RF star",
BIBNO,44°10'15''N,010°37'58''E,Q64,NULL,FRA(I)
BIBSO,38°06'33''N,012°53'37''E,NULL,CJ ial,
BICHE,41°17'32''N,016°49'04''E,NULL,BD star,
BIDMA,43°39'43''N,013°04'17''E,M730,"PY star, PY sid",
BIKTU,44°00'08''N,011°32'21''E,"N503, Q58, Z909","RQ star, RQ sid",FRA(I)
BINPU,38°23'40''N,013°25'11''E,NULL,CJ star,
BIRSU,41°34'34''N,016°49'34''E,Q920,BD star,
BITNI,41°44'53''N,012°01'57''E,NULL,RF star,
BLONA,45°00'31''N,006°46'38''E,NULL,NULL,
BOCIR,37°33'42''N,015°27'40''E,NULL,CC sid,
BOGHA,37°45'22''N,014°26'59''E,NULL,CC star,
BOLFU,35°31'36''N,012°49'56''E,NULL,"CD star, CD ial",
BOLOT,40°21'24''N,008°53'38''E,"M733, M858",EO star,FRA(I)
BOLVO,45°08'19''N,010°41'06''E,NULL,"PX star, PX ial",
BONXE,45°37'15''N,009°57'28''E,NULL,ME ial,
BORDI,44°01'23''N,007°45'07''E,"N736, Z185",NULL,FRA(X)
BORMI,46°02'10''N,011°10'00''E,"L613, M736",PH star,FRA(I)
BOTAL,45°08'01''N,009°07'22''E,M872,NULL,FRA(I)
BRENO,46°58'48''N,011°22'36''E,"M726, Z468",NULL,FRA(EX)
BRIVE,41°00'51''N,009°28'07''E,NULL,EO star,
BUBEC,35°22'15''N,012°49'06''E,NULL,CD ial,
BUDIN,38°28'35''N,015°04'48''E,"L869, T111",NULL,FRA(I)
BULAR,38°18'51''N,010°47'34''E,"L44, M732",NULL,FRA(I)
BUMOK,40°42'51''N,015°40'11''E,"M742, P748",BD star,FRA(I)
BUNUL,41°50'32''N,012°24'11''E,NULL,RF star,
BUSER,44°06'24''N,013°38'56''E,"L613, L865",NULL,FRA(I)
CALDO,45°54'33''N,008°51'51''E,NULL,LSZA star,
CANNE,46°10'00''N,008°52'52''E,"L995, M858, Z651","MF sid, MZ sid, LSZA sid",FRA(X)
CERCO,40°54'14''N,014°34'45''E,NULL,RN star,
CERVI,45°58'12''N,007°32'43''E,M872,NULL,FRA(X)
CIBFU,45°31'20''N,010°57'51''E,Y498,PO sid,
COBBA,37°48'44''N,014°45'43''E,Q789,NULL,FRA(I)
CORSI,41°20'00''N,008°48'44''E,"M733, M858, N163, Q213","EA star, EO star",FRA(X)
CRAYE,41°30'10''N,018°07'45''E,"A48, A482, W36",NULL,FRA(I)
DAFOC,46°12'10''N,011°07'45''E,NULL,"DT ial, KC sid",
DAMIC,40°27'38''N,018°16'34''E,L995,BR star,
DAVID,40°47'12''N,008°23'02''E,NULL,"EA star, EA ial",
DAXNU,45°37'30''N,013°37'09''E,M859,NULL,
DEDOM,42°07'00''N,010°26'00''E,"N157, Z254",NULL,FRA(I)
DEDRA,37°51'15''N,015°34'52''E,NULL,"CR star, CR sid, CR ial",
DEGUM,46°27'57''N,013°41'57''E,Y177,NULL,
DELER,40°11'06''N,014°08'57''E,"M729, M742, T111","RI star, RI sid, RN sid",FRA(I)
DELIK,38°37'18''N,016°38'24''E,M729,"CA star, CA sid",FRA(I)
DEROG,36°51'07''N,012°07'31''E,NULL,"CG star, CG ial",
DERUX,42°55'45''N,012°27'19''E,NULL,"RZ star, RZ ial",
DESIP,45°38'45''N,009°07'33''E,"L615, N851, Z651",NULL,FRA(I)
DESUK,41°59'41''N,013°08'09''E,"N982, Z924","RA star, RF star",FRA(I)
DETSA,46°48'09''N,012°16'52''E,"M984, Q984, Y106",NULL,FRA(E)
DEVEM,41°39'23''N,012°41'35''E,NULL,RA ial,
DEVOX,44°41'46''N,008°44'49''E,"M729, P860, Q712","MC star, ML sid",FRA(I)
DEXOL,35°58'01''N,013°13'00''E,NULL,CD sid,
DEXUL,39°51'32''N,009°08'32''E,"M733, Q125",NULL,FRA(I)
DIBAX,46°06'59''N,011°03'51''E,"L613, M985, T134, T897",NULL,FRA(I)
DIBVI,41°31'02''N,012°24'36''E,NULL,"RF sid, RA sid",
DIEZO,40°54'18''N,014°34'53''E,NULL,RN ial,
DIGTO,45°07'19''N,011°05'28''E,NULL,"PX star, PO star",
DIKEM,46°02'23''N,011°23'58''E,"M726, Q333, Y108, Z905",NULL,FRA(I)
DIKOB,37°41'40''N,012°50'55''E,NULL,CT sid,
DILEB,45°58'30''N,009°39'44''E,Y170,ME sid,FRA(I)
DILIN,37°00'32''N,013°58'52''E,P126,NULL,FRA(E)
DINOB,38°43'27''N,019°00'00''E,"M600, N573",NULL,FRA(EX)
DINUX,36°30'00''N,011°49'20''E,M979,NULL,FRA(I) - FRA Malta only
DIPOK,39°12'53''N,016°43'05''E,M736,"BC star, BC sid",FRA(I)
DIPVO,43°37'35''N,012°12'29''E,Y106,NULL,FRA(I)
DIRAB,46°48'49''N,011°03'44''E,T307,NULL,FRA(E)
DIRED,39°33'51''N,014°30'57''E,"L50, T111, T92",RI star,FRA(I)
DIRKA,36°30'00''N,014°18'36''E,N982,NULL,FRA(I) - FRA Malta only
DIRVU,45°19'00''N,010°14'10''E,NULL,"PX star, PO star",
DISEV,40°30'50''N,008°13'42''E,NULL,"EA star, EA ial",
DITUM,44°24'21''N,012°14'50''E,"Y106, Z982",NULL,FRA(I)
DIVAR,37°46'18''N,015°18'44''E,L137,CC star,FRA(I)
DIVIP,45°05'01''N,009°14'03''E,KY139,NULL,
DIVKU,41°30'00''N,015°50'16''E,"M872, P92","BD star, BD sid, BP star",FRA(I)
DIXER,45°04'42''N,009°19'00''E,"M135, T836","ME star, ML star, ML ial",
DOBIM,42°57'14''N,009°45'00''E,"M616, T378",NULL,FRA(X)
DOBIX,36°30'00''N,012°07'37''E,"M740, M978","CG star, CG sid",FRA(I) - FRA Malta only
DOBOG,44°08'40''N,011°05'37''E,"L12, L81",NULL,FRA(I)
DODCU,41°04'45''N,016°55'44''E,NULL,BD star,
DODEL,37°36'06''N,016°11'32''E,"N573, P3, Q72",NULL,FRA(I)
DOGAK,38°39'06''N,013°13'13''E,NULL,CJ star,
DOGEX,45°14'03''N,012°26'44''E,NULL,PZ ial,
DOGGA,40°41'38''N,009°23'53''E,NULL,EO star,
DOGUB,45°40'48''N,008°31'22''E,NULL,MC sid,
DOGUS,41°01'12''N,015°42'12''E,"L81, L995, T237","BF star, BF sid, BD star",FRA(I)
DOKAR,42°30'03''N,009°45'00''E,"M728, N604",NULL,FRA(E)
DOLON,40°53'21''N,017°35'40''E,L612,"BD star, BD sid, BR star, BR sid",FRA(I)
DOPEL,38°31'39''N,008°53'01''E,"M126, M858",NULL,FRA(EX)
DORAS,39°35'56''N,013°03'36''E,"M601, M726",NULL,FRA(I)
DORAV,44°19'35''N,008°51'08''E,"M985, N850","MG sid, MJ star",FRA(I)
DORIN,45°13'33''N,009°51'58''E,NULL,ML star,
DREUX,45°15'01''N,010°20'33''E,NULL,"PX star, PO star",
ECLOZ,44°17'23''N,008°35'25''E,NULL,"MJ star, MJ ial",
ECVAZ,45°11'21''N,011°16'50''E,Q58,PX sid,
EDEMO,45°35'00''N,011°57'08''E,NULL,"PH star, PH ial",
EDOPA,40°25'21''N,013°45'55''E,"M729, Y159",RN sid,FRA(I)
EDOXI,38°18'08''N,013°28'09''E,NULL,CJ star,
EDUGI,43°47'28''N,014°10'20''E,NULL,NULL,FRA(E)
EDVOC,44°58'49''N,007°29'41''E,NULL,"MF star, MZ star",
EFCUN,43°23'54''N,013°21'30''E,NULL,"PY Star, PY ial",
EFZIL,40°49'31''N,016°02'29''E,NULL,BD star,
EGHOS,43°47'48''N,012°51'47''E,NULL,PR star,
EKBUV,45°47'23''N,010°07'02''E,NULL,ML sid,
EKDIR,44°12'17''N,010°42'36''E,"M872, Y663",NULL,FRA(I)
EKDOG,45°23'45''N,010°00'00''E,NULL,"PX star, PO star",
EKLAP,45°00'07''N,011°37'49''E,P125,NULL,FRA(I)
EKLIB,45°53'42''N,009°57'16''E,T772,"ME star, LSZA star",
EKLOS,41°34'21''N,012°18'01''E,NULL,RF sid,
EKMIL,42°10'05''N,014°08'01''E,"L81, M736, N748, Z905",NULL,FRA(I)
EKMOT,41°40'59''N,014°48'26''E,L81,NULL,FRA(I)
EKMUR,41°24'52''N,016°31'24''E,T415,"BD star, BD sid",
EKOLA,36°30'00''N,013°58'20''E,L12,NULL,FRA(I) - FRA Malta only
EKPAL,44°29'03''N,010°09'45''E,"M727, M859, Q705, Z388","ME sid, ML sid",FRA(I)
EKPAR,38°28'29''N,016°55'57''E,M729,NULL,FRA(I)
EKPEB,46°41'25''N,011°28'19''E,"M736, P66, Y108, Z427, Z468",NULL,FRA(I)
EKPIS,46°47'14''N,011°21'20''E,"M726, T876",NULL,FRA(I)
EKPOD,40°26'34''N,009°11'29''E,P167,EO star,FRA(I)
EKPOP,45°26'01''N,008°46'38''E,NULL,MC ial,
EKRAX,41°54'25''N,012°12'29''E,NULL,RF star,
EKROB,40°50'02''N,009°54'41''E,NULL,"EO star, EO ial",
EKRUP,36°54'39''N,011°46'17''E,NULL,"CG star, CG ial",
EKSID,43°45'25''N,007°37'58''E,M985,NULL,
EKTEM,37°53'42''N,015°32'17''E,NULL,CR ial,
EKTOL,41°06'28''N,015°10'17''E,L995,"BF star, BF sid",FRA(I)
EKTOR,37°44'42''N,012°45'54''E,NULL,CT sid,
EKTUK,44°02'03''N,011°54'51''E,Y664,PR sid,FRA(I)
EKVAV,41°58'42''N,012°39'34''E,NULL,RA sid,
ELBOD,45°23'41''N,009°48'24''E,NULL,"ME star, ME ial, ML sid",
ELBUK,44°37'20''N,009°50'48''E,Z963,NULL,FRA(I)
ELDIP,45°13'03''N,010°37'49''E,NULL,"PO star, PO ial",
ELITO,41°58'15''N,012°18'45''E,NULL,RF star,
ELKAP,42°43'16''N,010°38'39''E,L146,"RA star, RF star",FRA(I)
ELNOG,41°37'15''N,012°37'48''E,NULL,RF star,
ELSAG,40°36'29''N,008°00'00''E,M603,EA star,FRA(E)
ELTAR,45°38'51''N,010°37'40''E,"L615, T147","ME star, ML sid",FRA(I)
ELVEB,44°26'28''N,011°14'11''E,NULL,PE star,
ELVIN,41°29'38''N,012°09'41''E,M729,"RA sid, RF star, RF sid",FRA(I)
EMBOS,43°50'07''N,010°17'00''E,Q704,NULL,FRA(I)
EMCOL,35°49'00''N,012°41'50''E,NULL,"CD sid, CD star",
EMDEK,41°01'47''N,010°02'33''E,NULL,EO star,
EMDUD,44°37'02''N,011°03'37''E,NULL,"PE star, PE ial",
EMPAB,37°21'32''N,015°42'59''E,NULL,CC star,
ENEPA,37°46'24''N,013°59'58''E,"M871, Z925","CB star, CB sid",FRA(I)
ENEXU,41°37'27''N,012°21'14''E,NULL,RF ial,
ENMOC,42°46'08''N,014°18'55''E,NULL,BP star,
ENNIR,38°56'02''N,015°59'43''E,NULL,CA ial,
ENOBA,44°17'59''N,008°18'23''E,"Q712, Z185","MF star, MZ sid, MZ star",FRA(I)
ENOXA,41°12'05''N,017°40'08''E,"L53, L862, Q920, W36, Y2","BD star, BR star, BR sid",FRA(I)
ENSOT,40°32'00''N,012°59'15''E,"L50, M726",NULL,FRA(I)
ENZEP,41°02'45''N,014°52'59''E,NULL,RN star,
EPCUM,45°33'43''N,010°51'01''E,Y842,PO star,
EPIDA,39°02'40''N,009°18'24''E,NULL,"EE star, EE ial",
EPIKU,40°51'26''N,008°06'35''E,M601,NULL,FRA(I)
EPOMI,45°39'08''N,013°52'43''E,Z495,NULL,
EPZEN,44°45'47''N,007°54'19''E,NULL,"MF star, MZ star",
ERDON,43°17'42''N,013°02'12''E,L865,NULL,FRA(I)
EREDO,43°32'35''N,013°14'59''E,NULL,PY star,
ERFEL,40°44'25''N,013°27'03''E,NULL,RN star,
ERIKA,41°37'22''N,014°01'52''E,"M736, Z910",NULL,FRA(I)
ERITU,43°26'21''N,014°07'34''E,T214,NULL,FRA(I)
ERLIT,43°23'01''N,013°10'02''E,L865,"PY star, PY sid",FRA(I)
ERMOB,45°14'42''N,010°40'13''E,NULL,"PX star, PX ial",
ERNAM,36°51'30''N,016°09'45''E,"M600, M621, M871, Q58",NULL,FRA(I)
EROVI,43°53'14''N,010°20'00''E,Q223,NULL,FRA(I)
ERPAV,41°13'21''N,009°52'05''E,NULL,EO star,
ERPEM,38°56'32''N,011°39'00''E,"M738, Q152",NULL,FRA(I)
ERPOG,42°28'42''N,015°12'09''E,"L612, M169","BP star, BP sid",FRA(I)
ERSAB,45°26'35''N,012°33'07''E,NULL,"PZ star, PZ ial",
ERSEP,44°58'31''N,007°38'07''E,NULL,MF ial,
ERTEV,43°38'18''N,008°57'30''E,NULL,NULL,FRA(I)
ESALU,42°13'11''N,012°29'32''E,NULL,RF star,
ESATU,41°59'08''N,012°20'36''E,NULL,RF star,
ESCOB,41°04'30''N,014°26'32''E,NULL,RN ial,
ESFOK,44°06'44''N,012°17'45''E,NULL,PK ial,
ESINO,41°23'05''N,011°47'41''E,"M126, M738, Z924","RA star, RA sid, RF star, RF sid",FRA(I)
ESITE,45°13'29''N,008°59'01''E,NULL,MC star,
ESODU,42°26'34''N,014°19'53''E,"M169, N748, Z924",NULL,FRA(I)
ESTEW,37°34'28''N,015°08'54''E,NULL,CC star,
ETHEZ,44°58'53''N,011°11'34''E,Y555,PO sid,
ETPOK,42°45'41''N,012°10'00''E,"N737, T369",NULL,FRA(I)
ETRIN,42°36'21''N,014°43'12''E,Z924,BP star,FRA(I)
ETTOZ,40°47'00''N,014°19'29''E,NULL,RN star,
EVANO,45°20'15''N,008°45'39''E,"M984, N736, N850, Z185",NULL,FRA(I)
EVGIR,45°37'03''N,008°52'37''E,NULL,MC star,
EVINO,39°42'47''N,015°19'17''E,M620,CA sid,FRA(I)
EVKIV,44°29'30''N,010°18'51''E,M859,NULL,FRA(I)
EVRIP,45°51'10''N,009°33'17''E,W323,MC star,
EVROG,43°15'16''N,009°48'47''E,L50,NULL,FRA(I)
EVULI,42°10'08''N,013°20'44''E,Z910,NULL,FRA(I)
EXAMA,42°09'00''N,012°11'32''E,NULL,"RF star, RF ial",
EXFIN,45°29'05''N,010°56'43''E,Y516,PO sid,
EZRAF,45°13'03''N,011°13'59''E,Y665,PO sid,
FAMXO,44°47'15''N,011°02'05''E,Y702,PO sid,
FANJO,39°01'27''N,017°14'51''E,NULL,"BC ial, BC star",
FARAK,45°33'15''N,008°26'57''E,NULL,"MC sid, ML sid",
FASAN,40°51'50''N,017°25'37''E,"M742, P92","BD star, BD sid, BR star, BR sid",FRA(I)
